iter	locus	logLik
0	0	-20.6607
0	1	-32.8583
0	2	-5.48648
0	3	-8.64
0	4	-2.90536
0	5	-6.97662
0	6	-6.49194
0	7	-3.57152
0	8	-3.8931
0	9	-6.30708
1	0	-12.2169
1	1	-16.7793
1	2	-5.35409
1	3	-6.78932
1	4	-2.43734
1	5	-6.16171
1	6	-6.13534
1	7	-3.9611
1	8	-3.16165
1	9	-8.13515
2	0	-8.47429
2	1	-8.93725
2	2	-6.43311
2	3	-6.545
2	4	-3.32803
2	5	-6.72508
2	6	-2.38762
2	7	-5.86586
2	8	-2.31114
2	9	-6.04693
3	0	-9.98852
3	1	-7.48371
3	2	-6.00814
3	3	-5.88988
3	4	-2.029
3	5	-6.68993
3	6	-2.86945
3	7	-2.96498
3	8	-2.00532
3	9	-8.76334
4	0	-8.86539
4	1	-6.54338
4	2	-6.17524
4	3	-5.82069
4	4	-2.09078
4	5	-7.02581
4	6	-3.00386
4	7	-2.98673
4	8	-2.64775
4	9	-5.13617
5	0	-6.34292
5	1	-4.87153
5	2	-5.49541
5	3	-7.06528
5	4	-3.35346
5	5	-7.36671
5	6	-3.09112
5	7	-5.34424
5	8	-3.6356
5	9	-3.77817
6	0	-5.41143
6	1	-5.09133
6	2	-5.41376
6	3	-6.71218
6	4	-3.66718
6	5	-7.35476
6	6	-8.09949
6	7	-7.63923
6	8	-2.5977
6	9	-5.44129
7	0	-4.05737
7	1	-3.49362
7	2	-5.61893
7	3	-6.27415
7	4	-3.31045
7	5	-7.84703
7	6	-5.84011
7	7	-7.39952
7	8	-5.15441
7	9	-4.65455
8	0	-6.57501
8	1	-4.59108
8	2	-5.76331
8	3	-9.68509
8	4	-3.44923
8	5	-7.68463
8	6	-5.92404
8	7	-8.54235
8	8	-5.82622
8	9	-5.46816
9	0	-7.04324
9	1	-6.38267
9	2	-5.51423
9	3	-6.00713
9	4	-3.3628
9	5	-8.23928
9	6	-2.93012
9	7	-7.85583
9	8	-4.47156
9	9	-5.70924
10	0	-7.60797
10	1	-4.78463
10	2	-6.24094
10	3	-5.70207
10	4	-3.72778
10	5	-6.21814
10	6	-2.8434
10	7	-4.10147
10	8	-5.2522
10	9	-5.40337
11	0	-6.23058
11	1	-5.28517
11	2	-8.42094
11	3	-6.58939
11	4	-4.75062
11	5	-10.6767
11	6	-5.05251
11	7	-3.52322
11	8	-6.20876
11	9	-4.42957
12	0	-6.28962
12	1	-4.7157
12	2	-5.46124
12	3	-6.18867
12	4	-3.18856
12	5	-8.78331
12	6	-11.5567
12	7	-7.78466
12	8	-5.00083
12	9	-4.24159
13	0	-7.11735
13	1	-4.9152
13	2	-4.54772
13	3	-6.13961
13	4	-5.58811
13	5	-8.3552
13	6	-8.78312
13	7	-3.88865
13	8	-4.99704
13	9	-4.14728
14	0	-4.82933
14	1	-4.31435
14	2	-6.70575
14	3	-6.77863
14	4	-4.14984
14	5	-7.74079
14	6	-7.61327
14	7	-4.83118
14	8	-5.76879
14	9	-10.1218
15	0	-5.9315
15	1	-3.71982
15	2	-5.30328
15	3	-7.49874
15	4	-2.5918
15	5	-8.40942
15	6	-8.81448
15	7	-3.94294
15	8	-5.67634
15	9	-4.49232
16	0	-5.39446
16	1	-5.63727
16	2	-6.41672
16	3	-7.37515
16	4	-2.67814
16	5	-6.8788
16	6	-5.37576
16	7	-7.99378
16	8	-1.93102
16	9	-4.32422
17	0	-6.28828
17	1	-5.85782
17	2	-5.00387
17	3	-6.84253
17	4	-1.74346
17	5	-7.25992
17	6	-4.51967
17	7	-3.55925
17	8	-2.17847
17	9	-3.87605
18	0	-6.48598
18	1	-6.42799
18	2	-6.20313
18	3	-6.49635
18	4	-2.96935
18	5	-7.51726
18	6	-4.05251
18	7	-3.5789
18	8	-3.24535
18	9	-4.01096
19	0	-4.84628
19	1	-5.08588
19	2	-5.39813
19	3	-7.31048
19	4	-1.47075
19	5	-7.10586
19	6	-4.97277
19	7	-3.52103
19	8	-3.19997
19	9	-4.60411
20	0	-4.19145
20	1	-4.18256
20	2	-3.85269
20	3	-5.61707
20	4	-3.28867
20	5	-6.41152
20	6	-3.18233
20	7	-4.45883
20	8	-4.10068
20	9	-3.72978
21	0	-4.4151
21	1	-5.72966
21	2	-6.58455
21	3	-6.13404
21	4	-5.27544
21	5	-9.37673
21	6	-4.02479
21	7	-4.96941
21	8	-6.23634
21	9	-6.71699
22	0	-6.79926
22	1	-6.96848
22	2	-6.40545
22	3	-6.59328
22	4	-5.13681
22	5	-8.29317
22	6	-4.7345
22	7	-7.21286
22	8	-4.32584
22	9	-3.50018
23	0	-5.79151
23	1	-9.50604
23	2	-7.17431
23	3	-9.11781
23	4	-6.07097
23	5	-9.04093
23	6	-5.94318
23	7	-4.45029
23	8	-3.53662
23	9	-3.56789
24	0	-3.9372
24	1	-6.75868
24	2	-4.33971
24	3	-9.5199
24	4	-4.22943
24	5	-6.25364
24	6	-8.12921
24	7	-8.96622
24	8	-2.72083
24	9	-3.56789
25	0	-3.7917
25	1	-7.49081
25	2	-5.24254
25	3	-9.66834
25	4	-2.13053
25	5	-9.14332
25	6	-8.86165
25	7	-9.75689
25	8	-2.60089
25	9	-3.54505
26	0	-3.77839
26	1	-6.10239
26	2	-6.18688
26	3	-8.77333
26	4	-2.02796
26	5	-7.26412
26	6	-8.86165
26	7	-8.30599
26	8	-3.14351
26	9	-5.28346
27	0	-5.56643
27	1	-5.02375
27	2	-4.0751
27	3	-8.48588
27	4	-3.53454
27	5	-7.86823
27	6	-7.15231
27	7	-8.4132
27	8	-3.06737
27	9	-4.90068
28	0	-5.58929
28	1	-5.0123
28	2	-6.71623
28	3	-5.50859
28	4	-4.24265
28	5	-7.22942
28	6	-7.15231
28	7	-4.86772
28	8	-2.10279
28	9	-5.06914
29	0	-5.45948
29	1	-4.42122
29	2	-4.99906
29	3	-5.72258
29	4	-2.48463
29	5	-6.21734
29	6	-5.52826
29	7	-4.35441
29	8	-2.02044
29	9	-5.24702
30	0	-8.66592
30	1	-4.39834
30	2	-5.37021
30	3	-7.29479
30	4	-2.75436
30	5	-7.8961
30	6	-5.23058
30	7	-2.99148
30	8	-2.32316
30	9	-5.92413
31	0	-5.04431
31	1	-4.06491
31	2	-5.30351
31	3	-7.23105
31	4	-5.90603
31	5	-6.17556
31	6	-5.23058
31	7	-4.16777
31	8	-2.32316
31	9	-5.24987
32	0	-5.48692
32	1	-5.75344
32	2	-5.02853
32	3	-6.79571
32	4	-6.51062
32	5	-7.83845
32	6	-5.49737
32	7	-3.08183
32	8	-2.4838
32	9	-4.68717
33	0	-6.49954
33	1	-5.48156
33	2	-5.5736
33	3	-7.55199
33	4	-4.41732
33	5	-10.0079
33	6	-4.47243
33	7	-2.93405
33	8	-2.32065
33	9	-4.78951
34	0	-7.31402
34	1	-6.17752
34	2	-6.0781
34	3	-5.7362
34	4	-4.47439
34	5	-8.7383
34	6	-3.8875
34	7	-3.89632
34	8	-3.55544
34	9	-4.9934
35	0	-6.52332
35	1	-4.93656
35	2	-6.34046
35	3	-5.79729
35	4	-3.75484
35	5	-8.63709
35	6	-3.24073
35	7	-3.00836
35	8	-3.1148
35	9	-6.09082
36	0	-5.29352
36	1	-3.76841
36	2	-6.43067
36	3	-8.08106
36	4	-1.75849
36	5	-7.41136
36	6	-3.25254
36	7	-2.86003
36	8	-3.0222
36	9	-5.06334
37	0	-6.09621
37	1	-3.94585
37	2	-6.94396
37	3	-7.43485
37	4	-1.70036
37	5	-8.73107
37	6	-4.11993
37	7	-4.51365
37	8	-3.91539
37	9	-5.81317
38	0	-5.7495
38	1	-4.25218
38	2	-6.92053
38	3	-5.55988
38	4	-1.51098
38	5	-8.73107
38	6	-5.37665
38	7	-4.75597
38	8	-3.91539
38	9	-4.82073
39	0	-6.72375
39	1	-5.41778
39	2	-5.55775
39	3	-5.46714
39	4	-1.77099
39	5	-8.54712
39	6	-5.02236
39	7	-7.30348
39	8	-3.47872
39	9	-5.42337
40	0	-8.46334
40	1	-4.74334
40	2	-4.41827
40	3	-6.11551
40	4	-1.67591
40	5	-7.63644
40	6	-4.71848
40	7	-5.77075
40	8	-2.49298
40	9	-6.0868
41	0	-7.66467
41	1	-5.91194
41	2	-6.0175
41	3	-5.71656
41	4	-1.98524
41	5	-6.79601
41	6	-2.48328
41	7	-4.61277
41	8	-3.08221
41	9	-6.87356
42	0	-5.06808
42	1	-5.5671
42	2	-6.03126
42	3	-7.51583
42	4	-4.1001
42	5	-9.91146
42	6	-2.26596
42	7	-4.08338
42	8	-5.95869
42	9	-7.8782
43	0	-4.58784
43	1	-3.85812
43	2	-6.5767
43	3	-6.41865
43	4	-4.90315
43	5	-8.03353
43	6	-4.05311
43	7	-3.88759
43	8	-5.18453
43	9	-8.59197
44	0	-7.37448
44	1	-3.51891
44	2	-5.69731
44	3	-7.30985
44	4	-8.05218
44	5	-6.61573
44	6	-3.18627
44	7	-5.43771
44	8	-5.5332
44	9	-6.9052
45	0	-4.50398
45	1	-5.656
45	2	-4.57127
45	3	-5.55491
45	4	-5.92595
45	5	-6.6658
45	6	-2.36591
45	7	-6.66578
45	8	-2.66198
45	9	-5.53807
46	0	-5.9344
46	1	-6.75326
46	2	-4.57127
46	3	-6.22882
46	4	-5.84816
46	5	-8.54865
46	6	-2.62583
46	7	-6.67222
46	8	-4.0484
46	9	-3.65743
47	0	-4.98239
47	1	-5.60336
47	2	-4.19975
47	3	-5.7599
47	4	-5.47347
47	5	-9.17774
47	6	-3.47235
47	7	-8.29209
47	8	-3.782
47	9	-4.43551
48	0	-5.1141
48	1	-4.67803
48	2	-3.94338
48	3	-6.0645
48	4	-2.87306
48	5	-7.6843
48	6	-3.23019
48	7	-5.434
48	8	-4.20594
48	9	-7.61352
49	0	-4.50649
49	1	-4.20644
49	2	-3.8574
49	3	-5.61657
49	4	-1.85528
49	5	-8.34282
49	6	-2.90402
49	7	-4.23184
49	8	-2.45138
49	9	-5.50011
50	0	-5.4511
50	1	-5.15192
50	2	-4.21082
50	3	-5.67283
50	4	-2.20693
50	5	-6.29009
50	6	-5.79018
50	7	-6.89168
50	8	-3.89921
50	9	-7.42215
51	0	-4.74802
51	1	-4.16169
51	2	-6.46289
51	3	-6.51615
51	4	-1.57984
51	5	-6.14549
51	6	-3.9024
51	7	-4.50262
51	8	-2.9616
51	9	-7.42215
52	0	-5.02411
52	1	-4.37181
52	2	-7.83974
52	3	-7.08077
52	4	-1.59462
52	5	-6.19729
52	6	-3.9024
52	7	-4.95307
52	8	-3.23871
52	9	-5.1712
53	0	-5.73576
53	1	-4.31633
53	2	-7.84401
53	3	-6.59381
53	4	-2.42747
53	5	-8.73066
53	6	-3.93838
53	7	-5.25605
53	8	-2.27753
53	9	-4.83616
54	0	-6.43134
54	1	-4.50492
54	2	-8.16851
54	3	-5.75188
54	4	-2.42747
54	5	-8.85434
54	6	-4.24876
54	7	-3.75816
54	8	-5.14461
54	9	-4.7575
55	0	-5.0636
55	1	-7.50971
55	2	-4.88096
55	3	-6.94747
55	4	-2.28235
55	5	-9.51155
55	6	-4.63052
55	7	-5.04191
55	8	-2.86067
55	9	-12.2702
56	0	-4.81824
56	1	-9.1762
56	2	-8.51024
56	3	-6.34404
56	4	-3.68262
56	5	-8.32199
56	6	-4.72141
56	7	-4.03549
56	8	-4.63372
56	9	-7.7199
57	0	-4.56693
57	1	-4.48061
57	2	-7.69219
57	3	-5.42761
57	4	-4.68234
57	5	-9.28418
57	6	-5.04329
57	7	-4.03549
57	8	-4.1818
57	9	-6.59589
58	0	-4.09815
58	1	-4.81657
58	2	-6.05836
58	3	-5.51955
58	4	-6.16445
58	5	-7.31348
58	6	-5.50749
58	7	-4.57591
58	8	-1.17679
58	9	-4.44219
59	0	-5.72676
59	1	-5.67882
59	2	-4.69326
59	3	-6.7192
59	4	-5.2664
59	5	-6.47369
59	6	-5.41027
59	7	-2.65266
59	8	-1.75102
59	9	-4.20181
60	0	-5.88948
60	1	-5.09752
60	2	-6.05697
60	3	-5.70193
60	4	-3.13951
60	5	-7.13
60	6	-5.01278
60	7	-2.79982
60	8	-4.57808
60	9	-4.86911
61	0	-3.95772
61	1	-4.53432
61	2	-3.92063
61	3	-5.72428
61	4	-3.31552
61	5	-7.26243
61	6	-5.01278
61	7	-2.87078
61	8	-3.90767
61	9	-4.65726
62	0	-3.98567
62	1	-4.79116
62	2	-4.96337
62	3	-5.58175
62	4	-2.73308
62	5	-8.47965
62	6	-4.93215
62	7	-3.88174
62	8	-3.33302
62	9	-4.77581
63	0	-4.29601
63	1	-6.80185
63	2	-4.73642
63	3	-5.78136
63	4	-5.46271
63	5	-5.97902
63	6	-3.09062
63	7	-3.56465
63	8	-3.33302
63	9	-6.26023
64	0	-3.94916
64	1	-5.74623
64	2	-4.10747
64	3	-6.04639
64	4	-2.21963
64	5	-6.0466
64	6	-4.04634
64	7	-4.66441
64	8	-3.84469
64	9	-4.76882
65	0	-4.18983
65	1	-8.01481
65	2	-4.24532
65	3	-7.5793
65	4	-3.83382
65	5	-6.38503
