iter	locus	tip0	tip1	tip2	tip3
0	0	3	4	1	2
0	1	1	4	2	3
0	2	3	4	1	2
0	3	1	2	3	4
0	4	1	2	3	4
0	5	3	4	1	2
0	6	3	4	1	2
0	7	1	2	3	4
0	8	3	4	1	2
0	9	2	1	3	4
1	0	3	4	1	2
1	1	1	4	2	3
1	2	1	2	3	4
1	3	3	4	1	2
1	4	3	4	1	2
1	5	3	4	1	2
1	6	3	4	1	2
1	7	1	2	3	4
1	8	1	2	3	4
1	9	3	4	1	2
2	0	3	4	1	2
2	1	2	3	1	4
2	2	3	4	1	2
2	3	3	4	1	2
2	4	2	1	3	4
2	5	3	4	1	2
2	6	1	2	3	4
2	7	1	2	3	4
2	8	1	2	3	4
2	9	1	2	3	4
3	0	1	2	3	4
3	1	2	1	3	4
3	2	3	4	1	2
3	3	3	4	1	2
3	4	2	3	1	4
3	5	3	4	1	2
3	6	3	4	1	2
3	7	3	4	1	2
3	8	1	2	3	4
3	9	1	2	3	4
4	0	3	4	1	2
4	1	2	1	3	4
4	2	3	4	1	2
4	3	3	4	1	2
4	4	2	4	1	3
4	5	3	4	1	2
4	6	3	4	1	2
4	7	3	4	1	2
4	8	1	2	3	4
4	9	1	2	3	4
5	0	1	2	3	4
5	1	2	3	1	4
5	2	3	4	1	2
5	3	3	4	1	2
5	4	1	3	2	4
5	5	3	4	1	2
5	6	1	2	3	4
5	7	3	4	1	2
5	8	3	4	1	2
5	9	3	4	1	2
6	0	3	4	1	2
6	1	2	4	1	3
6	2	1	2	3	4
6	3	3	4	1	2
6	4	2	3	1	4
6	5	3	4	1	2
6	6	3	4	1	2
6	7	3	4	1	2
6	8	1	2	3	4
6	9	3	4	1	2
7	0	3	4	1	2
7	1	2	4	1	3
7	2	1	2	3	4
7	3	3	4	1	2
7	4	2	3	1	4
7	5	1	2	3	4
7	6	3	4	1	2
7	7	3	4	1	2
7	8	4	3	1	2
7	9	3	4	1	2
8	0	1	2	3	4
8	1	2	4	1	3
8	2	1	2	3	4
8	3	3	4	1	2
8	4	4	2	1	3
8	5	3	4	1	2
8	6	3	4	1	2
8	7	3	4	1	2
8	8	4	3	1	2
8	9	1	2	3	4
9	0	3	4	1	2
9	1	2	3	1	4
9	2	1	2	3	4
9	3	1	2	3	4
9	4	2	4	1	3
9	5	3	4	1	2
9	6	3	4	1	2
9	7	3	4	1	2
9	8	1	2	3	4
9	9	1	2	3	4
10	0	1	2	3	4
10	1	2	1	3	4
10	2	1	2	3	4
10	3	1	2	3	4
10	4	2	3	1	4
10	5	3	4	1	2
10	6	3	4	1	2
10	7	3	4	1	2
10	8	3	4	1	2
10	9	1	2	3	4
11	0	1	2	3	4
11	1	2	1	3	4
11	2	1	2	3	4
11	3	1	2	3	4
11	4	2	1	3	4
11	5	1	2	3	4
11	6	3	4	1	2
11	7	3	4	1	2
11	8	1	2	3	4
11	9	3	4	1	2
12	0	3	4	1	2
12	1	2	1	3	4
12	2	1	2	3	4
12	3	1	2	3	4
12	4	3	4	1	2
12	5	3	4	1	2
12	6	1	2	3	4
12	7	1	2	3	4
12	8	3	4	1	2
12	9	3	4	1	2
13	0	3	4	1	2
13	1	2	4	1	3
13	2	1	2	3	4
13	3	1	2	3	4
13	4	3	1	2	4
13	5	3	4	1	2
13	6	1	2	3	4
13	7	1	2	3	4
13	8	4	3	1	2
13	9	3	4	1	2
14	0	3	4	1	2
14	1	2	4	1	3
14	2	1	2	3	4
14	3	1	2	3	4
14	4	3	2	1	4
14	5	3	4	1	2
14	6	1	2	3	4
14	7	1	2	3	4
14	8	4	3	1	2
14	9	1	2	3	4
15	0	3	4	1	2
15	1	2	4	1	3
15	2	1	2	3	4
15	3	3	4	1	2
15	4	2	1	3	4
15	5	1	2	3	4
15	6	1	2	3	4
