iter	locus	treeID
0	0	0
0	1	1
0	2	0
0	3	2
0	4	3
0	5	0
0	6	0
0	7	2
0	8	0
0	9	3
1	0	0
1	1	1
1	2	2
1	3	0
1	4	0
1	5	0
1	6	0
1	7	2
1	8	2
1	9	0
2	0	0
2	1	4
2	2	0
2	3	0
2	4	3
2	5	0
2	6	2
2	7	2
2	8	2
2	9	2
3	0	2
3	1	3
3	2	0
3	3	0
3	4	4
3	5	0
3	6	0
3	7	0
3	8	2
3	9	3
4	0	0
4	1	3
4	2	0
4	3	0
4	4	4
4	5	0
4	6	0
4	7	0
4	8	2
4	9	2
5	0	2
5	1	4
5	2	0
5	3	0
5	4	1
5	5	0
5	6	2
5	7	0
5	8	0
5	9	0
6	0	0
6	1	4
6	2	2
6	3	0
6	4	4
6	5	0
6	6	0
6	7	0
6	8	2
6	9	0
7	0	0
7	1	4
7	2	2
7	3	0
7	4	4
7	5	2
7	6	0
7	7	0
7	8	5
7	9	0
8	0	2
8	1	4
8	2	2
8	3	0
8	4	6
8	5	0
8	6	0
8	7	0
8	8	5
8	9	2
9	0	0
9	1	4
9	2	2
9	3	2
9	4	4
9	5	0
9	6	0
9	7	0
9	8	2
9	9	2
10	0	2
10	1	3
10	2	2
10	3	2
10	4	4
10	5	0
10	6	0
10	7	0
10	8	5
10	9	2
11	0	2
11	1	3
11	2	2
11	3	2
11	4	3
11	5	3
11	6	0
11	7	0
11	8	2
11	9	0
12	0	0
12	1	3
12	2	2
12	3	2
12	4	0
12	5	0
12	6	2
12	7	2
12	8	5
12	9	0
13	0	0
13	1	4
13	2	2
13	3	2
13	4	6
13	5	0
13	6	2
13	7	2
13	8	5
13	9	0
14	0	0
14	1	4
14	2	2
14	3	2
14	4	6
14	5	0
14	6	2
14	7	2
14	8	5
14	9	3
15	0	0
15	1	4
15	2	2
15	3	0
15	4	3
15	5	2
15	6	2
15	7	2
15	8	5
15	9	2
16	0	0
16	1	4
16	2	2
16	3	0
16	4	3
16	5	0
16	6	2
16	7	0
16	8	2
16	9	0
17	0	3
17	1	3
17	2	2
17	3	0
17	4	4
17	5	0
17	6	2
17	7	0
17	8	2
17	9	0
18	0	3
18	1	3
18	2	2
18	3	0
18	4	4
